0.27837	4	4	5	3	5	5	5
0.06731	1	4	1	1	3	1	1
0.11747	6	6	6	6	6	6	6
0.08824	1	2	2	2	2	2	2
0.12229	1	2	3	.	1	1	1
0.13061	6	5	5	6	5	6	5
0.58051	4	.	5	5	4	5	5
0.0835	1	.	4	3	4	3	2
0.74413	3	3	3	3	3	3	1
0.83864	3	3	3	3	3	2	2
0.73527	5	5	5	.	4	5	4
0.63249	6	6	6	4	5	4	4
0.68331	.	.	.	3	.	.	.
0.87002	2	4	2	2	2	1	2
0.16947	6	6	6	1	6	1	6
0.10027	3	3	2	1	1	1	1
0.18765	5	5	5	5	5	2	2
0.18505	1	4	1	1	4	1	1
0.08964	4	4	3	2	2	2	2
0.08194	3	3	3	2	3	2	2
0.53728	1	6	6	6	6	1	1
1.06454	4	4	4	2	3	2	1
0.99689	1	6	1	1	1	1	2
0.12928	3	3	3	2	3	2	1
0.7917	1	3	4	3	2	2	1
0.94218	3	2	3	2	3	2	1
0.68822	3	3	3	3	3	3	3
0.59858	1	1	1	1	1	1	1
0.67472	2	2	2	2	2	2	2
0.10298	3	4	4	3	3	4	4
0.88877	4	.	.	.	.	.	.
0.20171	3	3	3	3	3	3	3
0.15055	2	2	2	2	2	1	6
0.89904	5	5	5	1	1	2	1
0.63249	1	5	5	3	5	5	5
0.07124	4	4	4	4	4	4	4
0.18325	2	4	3	4	2	3	1
0.12229	1	3	.	3	1	3	1
0.99689	3	4	3	4	3	4	3
0.08964	1	.	2	1	1	.	2
0.16466	2	2	2	2	2	2	2
0.10982	2	5	5	1	5	2	4
0.08824	3	6	4	2	5	4	3
0.20195	3	3	2	2	3	3	2
0.18637	4	3	3	2	2	2	2
0.13352	3	2	4	3	2	4	5
0.13655	6	5	2	3	.	5	1
0.51178	3	4	1	2	2	1	1
0.56855	3	4	.	1	.	1	1
0.09559	4	2	2	2	2	2	2
0.15368	4	6	6	1	1	1	1
0.13352	5	6	6	6	6	6	6
0.09077	6	4	3	1	3	3	1
1.6766	4	4	4	4	4	1	5
0.11382	.	.	.	3	3	.	.
0.61931	3	3	3	3	3	3	3
1.65756	5	3	3	3	1	3	1
0.62235	2	3	2	2	3	2	1
1.0619	4	2	3	2	2	2	2
0.14922	3	4	5	5	3	5	3
0.80868	4	.	4	4	4	4	.
0.13168	5	5	4	1	1	2	1
0.08824	1	2	2	2	2	2	2
0.10414	2	2	2	2	2	2	2
0.69857	4	3	3	3	3	1	1
0.15716	4	4	4	4	4	1	4
0.49945	3	3	3	3	3	3	3
0.46448	5	5	4	4	4	5	5
0.51768	3	3	3	2	2	2	1
0.87302	5	4	3	1	4	1	3
0.6971	3	3	3	3	4	3	1
0.2199	3	2	3	2	1	1	1
0.528	4	6	3	3	6	2	2
0.42586	3	3	5	2	2	2	2
0.70475	5	4	3	2	2	2	2
0.54509	2	1	1	1	1	2	1
